;codigo_fundo;setor;preco_atual;liquidez_diaria;dividendo;dy;dy_3_acumulado;dy_6_acumulado;dy_12_acumulado;dy_3_media;dy_6_media;dy_12_media;dy_ano;variacao_preco;rentabilidade_periodo;rentabilidade_acumulada;patrimonio_liquido;vpa;p_vpa;dy_patrimonial;variacao_patrimonial;rentabilidade_patrimonial_periodo;rentabilidade_patrimonial_acumulada;vacancia_fisica;vacancia_financeira;quantidade_ativos
148;BCRI11;Títulos e Val. Mob.;R$ 97,68;8748.0;R$ 1,00;0,98%;3,27%;7,20%;14,17%;1,09%;1,20%;1,18%;11,81%;-0,78%;0,19%;3,75%;R$ 647.665.969,70;R$ 103,50;94.0;1,06%;-1,08%;-0,03%;6,99%;;;0
149;TEPP11;Lajes Corporativas;R$ 75,00;4355.0;R$ 0,50;0,63%;1,80%;3,94%;8,06%;0,60%;0,66%;0,67%;6,66%;-5,71%;-5,12%;16,30%;R$ 380.210.556,08;R$ 90,06;83.0;0,54%;0,00%;0,55%;3,30%;9,06%;18,03%;5
150;BPFF11;Títulos e Val. Mob.;R$ 66,17;4203.0;R$ 0,62;0,90%;2,90%;6,44%;11,99%;0,97%;1,07%;1,00%;10,17%;-0,61%;0,29%;11,15%;R$ 351.643.821,51;R$ 78,28;85.0;0,79%;-0,75%;0,03%;7,83%;;;0
151;PATC11;Lajes Corporativas;R$ 69,75;973.0;R$ 0,40;0,52%;1,53%;3,84%;6,63%;0,51%;0,64%;0,55%;5,68%;1,29%;1,82%;23,45%;R$ 296.296.737,34;R$ 85,21;82.0;0,47%;-0,54%;-0,08%;2,28%;21,90%;18,90%;6
152;PLCR11;Híbrido;R$ 85,81;6258.0;R$ 1,10;1,27%;3,87%;7,99%;15,14%;1,29%;1,33%;1,26%;12,80%;3,07%;4,38%;11,51%;R$ 194.800.422,99;R$ 92,36;93.0;1,19%;0,35%;1,54%;9,68%;;;0
153;APTO11;Híbrido;R$ 8,90;4139.0;R$ 0,09;0,99%;3,26%;6,98%;0,00%;1,09%;1,16%;0,00%;11,08%;0,77%;1,77%;0,92%;R$ 40.313.044,83;R$ 10,05;89.0;0,90%;0,04%;0,93%;12,89%;;;0
154;SPVJ11;Outros;R$ 69,40;550.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;59.0;0,57%;8,89%;9,51%;15,27%;;;0
155;SPVJ11;Outros;R$ 69,11;284.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;59.0;0,57%;8,89%;9,51%;15,27%;;;0
156;SPVJ11;Outros;R$ 69,31;274.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;59.0;0,57%;8,89%;9,51%;15,27%;;;0
157;SPVJ11;Outros;R$ 69,68;275.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;60.0;0,57%;8,89%;9,51%;15,27%;;;0
158;SPVJ11;Outros;R$ 69,47;578.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;60.0;0,57%;8,89%;9,51%;15,27%;;;0
159;SPVJ11;Outros;R$ 69,34;182.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;59.0;0,57%;8,89%;9,51%;15,27%;;;0
160;SPVJ11;Outros;R$ 69,45;235.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;60.0;0,57%;8,89%;9,51%;15,27%;;;0
161;SPVJ11;Outros;R$ 69,47;735.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;60.0;0,57%;8,89%;9,51%;15,27%;;;0
162;SPVJ11;Outros;R$ 69,07;387.0;R$ 0,67;0,96%;0,96%;0,96%;0,96%;0,32%;0,16%;0,08%;0,96%;0,00%;0,96%;0,96%;R$ 736.412.043,88;R$ 116,67;59.0;0,57%;8,89%;9,51%;15,27%;;;0
163;HSLG11;Logística;R$ 88,00;11120.0;R$ 0,70;0,75%;2,20%;4,53%;8,69%;0,73%;0,76%;0,72%;7,35%;-1,53%;-0,80%;12,45%;R$ 1.332.738.182,25;R$ 105,27;84.0;0,66%;-0,03%;0,64%;0,37%;1,10%;;5
164;KNIP11;Títulos e Val. Mob.;R$ 92,15;130321.0;R$ 0,30;0,32%;1,32%;5,53%;13,77%;0,44%;0,92%;1,15%;10,88%;3,79%;4,12%;1,23%;R$ 7.792.811.693,25;R$ 96,64;95.0;0,31%;0,67%;0,98%;10,69%;;;0
165;KNCR11;Títulos e Val. Mob.;R$ 99,21;145837.0;R$ 1,10;1,10%;3,55%;6,76%;11,80%;1,18%;1,13%;0,98%;10,34%;-0,87%;0,22%;10,94%;R$ 5.594.359.606,83;R$ 100,68;99.0;1,09%;-0,16%;0,93%;10,57%;;;0
166;STRX11;Híbrido;R$ 109,95;443.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
167;STRX11;Híbrido;R$ 110,00;3438.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
168;STRX11;Híbrido;R$ 110,05;2959.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
169;STRX11;Híbrido;R$ 110,05;2843.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
170;STRX11;Híbrido;R$ 109,97;4744.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
171;STRX11;Híbrido;R$ 110,18;2665.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
172;STRX11;Híbrido;R$ 109,90;4250.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
173;STRX11;Híbrido;R$ 110,00;3685.0;R$ 0,79;0,72%;0,72%;0,72%;0,72%;0,24%;0,12%;0,06%;0,72%;0,00%;0,72%;0,72%;R$ 227.257.906,13;R$ 140,84;78.0;0,56%;0,00%;0,56%;5,41%;;;0
174;VLOL11;Lajes Corporativas;R$ 104,01;163.0;R$ 0,61;0,58%;1,70%;3,47%;6,82%;0,57%;0,58%;0,57%;5,75%;-1,26%;-0,69%;19,88%;R$ 184.931.828,03;R$ 103,61;100.0;0,59%;0,01%;0,60%;4,07%;0,00%;;1
175;CCRF11;Títulos e Val. Mob.;R$ 97,96;5.0;R$ 0,70;0,74%;2,82%;6,74%;0,00%;0,94%;1,12%;0,00%;10,36%;3,01%;3,77%;5,41%;R$ 153.008.067,83;R$ 97,34;101.0;0,72%;0,02%;0,74%;2,34%;;;0
176;EQIR11;Títulos e Val. Mob.;R$ 9,50;972.0;R$ 0,11;1,12%;13,50%;16,98%;0,00%;4,50%;2,83%;0,00%;20,23%;0,31%;1,43%;-87,81%;R$ 50.004.574,36;R$ 9,95;95.0;;;;;;;0
177;HGLG11;Logística;R$ 163,84;33103.0;R$ 1,10;0,66%;1,96%;5,29%;9,65%;0,65%;0,88%;0,80%;7,94%;0,00%;0,66%;5,57%;R$ 3.451.634.033,37;R$ 147,15;111.0;0,75%;-0,25%;0,50%;7,58%;6,90%;6,50%;17
178;BBFO11;Títulos e Val. Mob.;R$ 70,69;3224.0;R$ 0,62;0,85%;2,74%;6,37%;12,33%;0,91%;1,06%;1,03%;10,51%;-5,95%;-5,15%;10,96%;R$ 344.178.087,42;R$ 85,96;82.0;0,72%;-1,04%;-0,33%;8,53%;;;0
179;JSAF11;Títulos e Val. Mob.;R$ 90,49;2295.0;R$ 0,93;0,99%;3,09%;6,49%;0,00%;1,03%;1,08%;0,00%;10,88%;5,94%;6,99%;26,64%;R$ 154.343.017,09;R$ 98,12;92.0;0,95%;-1,02%;-0,08%;10,56%;;;0
180;RNGO11;Lajes Corporativas;R$ 47,00;11514.0;R$ 0,43;0,87%;2,48%;5,12%;9,40%;0,83%;0,85%;0,78%;8,05%;-4,36%;-3,53%;4,80%;R$ 234.681.074,42;R$ 87,70;54.0;0,49%;0,03%;0,52%;4,88%;24,10%;;3
181;SHPH11;Shoppings;R$ 780,00;48.0;R$ 3,80;0,48%;1,53%;2,96%;5,78%;0,51%;0,49%;0,48%;4,90%;-0,13%;0,36%;2,13%;R$ 541.387.311,55;R$ 889,05;88.0;0,43%;0,01%;0,44%;3,62%;10,80%;;1
182;CACR11;Híbrido;R$ 100,47;4727.0;R$ 1,44;1,43%;4,51%;7,67%;16,05%;1,50%;1,28%;1,34%;13,16%;-0,11%;1,32%;6,48%;R$ 187.009.335,32;R$ 103,47;97.0;1,51%;0,27%;1,78%;35,75%;;;0
183;RBED11;Outros;R$ 127,49;995.0;R$ 1,23;0,93%;2,76%;5,73%;11,11%;0,92%;0,96%;0,93%;9,42%;-0,73%;0,20%;20,53%;R$ 301.968.647,66;R$ 141,17;90.0;0,87%;0,08%;0,95%;8,33%;0,00%;;5
184;RBVA11;Outros;R$ 92,21;7407.0;R$ 1,07;1,11%;3,25%;6,57%;12,16%;1,08%;1,10%;1,01%;10,34%;-0,32%;0,79%;8,03%;R$ 1.194.298.622,96;R$ 103,06;89.0;1,04%;0,18%;1,22%;9,95%;0,70%;;72
185;HABT11;Títulos e Val. Mob.;R$ 91,26;21799.0;R$ 0,90;0,94%;3,09%;7,03%;14,17%;1,03%;1,17%;1,18%;11,64%;3,60%;4,57%;-3,69%;R$ 809.941.950,97;R$ 99,66;92.0;0,90%;-0,60%;0,30%;14,53%;;;0
186;HSAF11;Títulos e Val. Mob.;R$ 84,40;2082.0;R$ 1,00;1,19%;3,56%;7,11%;14,24%;1,19%;1,18%;1,19%;13,18%;-1,20%;-0,02%;-3,26%;R$ 232.861.774,14;R$ 92,17;92.0;1,08%;-0,13%;0,95%;8,42%;;;0
187;CXAG11;Outros;R$ 79,50;2378.0;R$ 0,75;0,93%;2,82%;5,92%;0,00%;0,94%;0,99%;0,00%;8,82%;0,70%;1,64%;15,50%;R$ 241.476.769,69;R$ 115,50;69.0;0,65%;0,64%;1,29%;17,40%;;;0
188;GTWR11;Lajes Corporativas;R$ 81,40;5499.0;R$ 0,74;0,88%;2,68%;5,79%;11,22%;0,89%;0,97%;0,94%;9,46%;3,02%;3,93%;9,37%;R$ 1.176.184.659,40;R$ 98,02;83.0;0,75%;0,02%;0,78%;7,25%;0,00%;0,00%;1
189;XPHT11;Hotel;R$ 114,00;8.0;R$ 1,60;1,47%;3,38%;4,59%;6,46%;1,13%;0,76%;0,54%;4,69%;-3,35%;-1,94%;16,69%;R$ 358.637.199,59;R$ 94,26;121.0;1,70%;0,14%;1,84%;5,15%;64,90%;;5
190;XPLG11;Logística;R$ 100,31;38558.0;R$ 0,74;0,69%;2,04%;4,24%;8,29%;0,68%;0,71%;0,69%;6,96%;-0,68%;0,01%;16,68%;R$ 3.096.972.945,45;R$ 114,27;88.0;0,65%;0,05%;0,70%;10,55%;8,80%;1,20%;13
191;ARRI11;Títulos e Val. Mob.;R$ 8,97;33434.0;R$ 0,11;1,19%;3,93%;8,04%;16,63%;1,31%;1,34%;1,39%;13,29%;3,70%;4,93%;-89,51%;R$ 108.613.266,44;R$ 9,22;97.0;1,52%;-0,68%;0,83%;-89,02%;;;0
192;RBVO11;Outros;R$ 10,98;531.0;R$ 0,03;0,27%;0,82%;1,54%;3,58%;0,27%;0,26%;0,30%;2,94%;-1,25%;-0,98%;-7,16%;R$ 9.010.547,56;R$ 17,47;63.0;0,17%;1,85%;2,02%;-22,07%;;;0
193;RDPD11;Títulos e Val. Mob.;R$ 35,60;2188.0;R$ 0,44;1,25%;3,44%;6,67%;12,94%;1,15%;1,11%;1,08%;11,25%;-29,15%;-28,27%;-30,46%;R$ 58.132.763,28;R$ 53,92;66.0;0,82%;-1,24%;-0,44%;0,69%;;;0
194;KINP11;Residencial;R$ 9,39;517.0;R$ 0,14;1,47%;4,34%;11,63%;0,00%;1,45%;1,94%;0,00%;16,21%;-2,32%;-0,88%;-23,63%;R$ 36.608.050,97;R$ 5,12;183.0;2,66%;-4,09%;-1,54%;2,66%;;;0
195;LASC11;Shoppings;R$ 92,00;16.0;R$ 0,81;0,88%;2,20%;4,25%;7,92%;0,73%;0,71%;0,66%;7,27%;0,00%;0,88%;9,91%;R$ 323.242.354,39;R$ 109,94;84.0;0,74%;-2,42%;-1,70%;1,79%;2,40%;;3
196;HTMX11;Hotel;R$ 106,46;3255.0;R$ 0,91;0,78%;1,58%;2,63%;5,34%;0,53%;0,44%;0,44%;1,58%;3,38%;4,19%;5,02%;R$ 188.283.438,93;R$ 125,16;85.0;0,72%;-0,12%;0,60%;0,60%;65,00%;;23
197;VCRR11;Residencial;R$ 74,50;769.0;R$ 0,67;0,89%;2,54%;5,34%;10,74%;0,85%;0,89%;0,90%;8,92%;-7,07%;-6,24%;6,47%;R$ 239.991.594,89;R$ 120,00;62.0;0,56%;0,03%;0,59%;5,46%;;;0
198;KNHY11;Títulos e Val. Mob.;R$ 96,16;34868.0;R$ 0,47;0,47%;1,64%;5,72%;13,46%;0,55%;0,95%;1,12%;10,66%;3,02%;3,51%;2,99%;R$ 1.823.754.510,11;R$ 98,63;97.0;0,48%;1,05%;1,53%;11,85%;;;0
199;URPR11;Outros;R$ 99,46;40115.0;R$ 1,13;1,11%;3,97%;8,53%;17,64%;1,32%;1,42%;1,47%;14,41%;0,04%;1,15%;-2,75%;R$ 1.180.250.715,71;R$ 101,09;98.0;1,12%;-0,34%;0,78%;23,72%;;;0
200;HUSC11;Outros;R$ 108,00;10.0;R$ 0,87;0,74%;2,44%;5,38%;8,71%;0,81%;0,90%;0,73%;7,71%;0,86%;1,61%;13,52%;R$ 113.469.226,80;R$ 142,80;76.0;0,65%;0,00%;0,65%;4,03%;;;0
201;NVIF11B;Outros;R$ 95,90;88.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
202;NVIF11B;Outros;R$ 95,96;971.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
203;NVIF11B;Outros;R$ 95,96;1257.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
204;NVIF11B;Outros;R$ 96,52;1760.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;34.0;0,15%;3,38%;3,54%;14,24%;;;0
205;NVIF11B;Outros;R$ 96,14;1449.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
206;NVIF11B;Outros;R$ 96,15;1508.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
207;NVIF11B;Outros;R$ 95,92;558.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
208;NVIF11B;Outros;R$ 95,81;2665.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
209;NVIF11B;Outros;R$ 96,20;1534.0;R$ 0,44;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 96.965.945,92;R$ 287,39;33.0;0,15%;3,38%;3,54%;14,24%;;;0
210;NEWL11;Híbrido;R$ 98,00;971.0;R$ 0,90;0,89%;2,65%;6,28%;11,57%;0,88%;1,05%;0,96%;9,44%;-0,79%;0,10%;8,13%;R$ 246.735.393,74;R$ 121,36;81.0;0,74%;0,12%;0,86%;13,25%;0,00%;;2
211;LVBI11;Logística;R$ 102,00;12823.0;R$ 0,75;0,69%;2,11%;4,32%;8,64%;0,70%;0,72%;0,72%;5,76%;0,00%;0,69%;21,62%;R$ 1.360.519.943,04;R$ 115,54;88.0;0,65%;0,04%;0,69%;3,82%;0,50%;0,00%;10
212;HSRE11;Híbrido;R$ 101,50;4.0;R$ 0,63;0,62%;1,88%;3,63%;7,32%;0,63%;0,60%;0,61%;5,87%;-0,15%;0,48%;6,92%;R$ 819.700.436,58;R$ 96,23;105.0;0,65%;0,06%;0,71%;5,18%;0,00%;;29
213;JPPA11;Títulos e Val. Mob.;R$ 104,50;3425.0;R$ 1,50;1,43%;4,45%;10,04%;18,75%;1,48%;1,67%;1,56%;16,08%;-1,19%;0,23%;26,01%;R$ 70.328.481,77;R$ 99,77;105.0;1,50%;0,38%;1,89%;11,01%;;;0
214;RZTR11;Híbrido;R$ 99,18;45177.0;R$ 1,25;1,22%;3,61%;7,28%;14,57%;1,20%;1,21%;1,21%;13,34%;-1,89%;-0,70%;12,49%;R$ 1.075.066.603,90;R$ 97,31;102.0;1,28%;-0,23%;1,05%;8,97%;;;10
215;QAMI11;Híbrido;R$ 81,88;127.0;R$ 0,80;0,95%;3,04%;7,26%;15,39%;1,01%;1,21%;1,28%;12,19%;-0,17%;0,78%;-4,25%;R$ 74.533.196,45;R$ 93,00;88.0;0,86%;0,77%;1,64%;11,52%;;;0
216;BICR11;Títulos e Val. Mob.;R$ 97,26;2.0;R$ 1,01;0,99%;2,52%;4,60%;9,00%;0,84%;0,77%;0,75%;7,72%;-0,03%;0,96%;16,73%;R$ 50.440.663,35;R$ 100,88;96.0;1,00%;0,40%;1,41%;9,28%;;;0
217;OUJP11;Títulos e Val. Mob.;R$ 95,95;3962.0;R$ 1,20;1,26%;3,86%;8,28%;15,87%;1,29%;1,38%;1,32%;13,65%;2,38%;3,67%;19,50%;R$ 328.901.361,47;R$ 101,13;95.0;1,19%;0,26%;1,45%;13,54%;;;0
218;HGRE11;Lajes Corporativas;R$ 130,00;12700.0;R$ 0,78;0,57%;1,67%;3,51%;8,32%;0,56%;0,58%;0,69%;5,73%;-0,54%;0,02%;10,23%;R$ 1.911.617.481,95;R$ 161,76;80.0;0,48%;-0,06%;0,42%;1,72%;27,13%;29,17%;21
219;LGCP11;Logística;R$ 83,36;5352.0;R$ 0,62;0,73%;2,19%;4,55%;8,93%;0,73%;0,76%;0,74%;7,55%;-0,91%;-0,19%;10,84%;R$ 280.859.966,59;R$ 102,77;81.0;0,60%;0,60%;1,21%;6,87%;0,50%;;5
220;NSLU11;Hospital;R$ 165,69;2776.0;R$ 1,41;0,87%;1,66%;3,92%;9,06%;0,55%;0,65%;0,76%;2,42%;0,00%;0,87%;15,00%;R$ 251.770.972,69;R$ 194,68;85.0;0,72%;0,06%;0,78%;2,27%;0,00%;;1
221;FIIP11B;Logística;R$ 150,04;665.0;R$ 1,35;0,85%;2,50%;5,06%;9,75%;0,83%;0,84%;0,81%;8,21%;-1,00%;-0,16%;4,54%;R$ 172.824.415,02;R$ 186,40;80.0;0,72%;0,08%;0,81%;-0,48%;0,00%;;7
222;KFOF11;Títulos e Val. Mob.;R$ 83,10;6430.0;R$ 0,72;0,80%;2,40%;5,11%;10,03%;0,80%;0,85%;0,84%;8,55%;-2,27%;-1,48%;28,48%;R$ 446.027.322,58;R$ 98,39;84.0;0,73%;-1,84%;-1,12%;12,53%;;;0
223;HGIC11;Títulos e Val. Mob.;R$ 106,37;3748.0;R$ 1,21;1,13%;3,10%;6,00%;11,90%;1,03%;1,00%;0,99%;9,78%;1,42%;2,56%;11,24%;R$ 33.581.846,82;R$ 116,44;91.0;1,04%;0,78%;1,82%;18,39%;;;0
224;CRFF11;Títulos e Val. Mob.;R$ 74,68;11.0;R$ 0,63;0,80%;2,45%;5,20%;9,69%;0,82%;0,87%;0,81%;8,34%;4,65%;5,49%;22,96%;R$ 61.877.632,14;R$ 89,67;83.0;0,70%;-0,90%;-0,21%;11,06%;;;0
225;ITIT11;Títulos e Val. Mob.;R$ 79,48;980.0;R$ 0,58;0,71%;2,17%;4,53%;9,05%;0,72%;0,75%;0,75%;7,60%;0,00%;0,71%;21,95%;R$ 76.173.259,19;R$ 84,59;94.0;0,69%;-1,74%;-1,07%;12,68%;;;0
226;XPCM11;Lajes Corporativas;R$ 15,10;3448.0;R$ 0,15;0,87%;2,40%;5,44%;10,69%;0,80%;0,91%;0,89%;9,23%;0,00%;0,87%;-1,73%;R$ 125.394.127,99;R$ 51,93;29.0;0,29%;-0,59%;-0,30%;-2,53%;100,00%;;1
227;BTRA11;Outros;R$ 85,91;6244.0;R$ 0,80;0,92%;2,46%;5,11%;10,65%;0,82%;0,85%;0,89%;7,85%;0,00%;0,92%;-4,00%;R$ 347.696.797,12;R$ 103,34;83.0;0,77%;-0,69%;0,08%;3,71%;;;0
228;VIFI11;Títulos e Val. Mob.;R$ 7,43;28055.0;R$ 0,06;0,80%;2,39%;4,98%;10,11%;0,80%;0,83%;0,84%;8,40%;0,00%;0,80%;5,08%;R$ 75.800.518,38;R$ 9,37;79.0;0,64%;-0,77%;-0,14%;-68,07%;;;0
229;BTWR11;Lajes Corporativas;R$ 105,49;1600.0;R$ 0,42;0,40%;1,22%;2,13%;3,16%;0,41%;0,35%;0,26%;3,16%;0,00%;0,40%;1,75%;R$ 90.324.451,30;R$ 111,61;95.0;0,43%;0,07%;0,51%;6,17%;12,00%;;1
230;BTSG11;Híbrido;R$ 100,00;1.0;R$ 0,87;0,86%;1,72%;1,72%;0,00%;0,57%;0,29%;0,00%;1,72%;0,00%;0,86%;1,73%;R$ 103.341.425,67;R$ 133,34;75.0;0,65%;0,00%;0,65%;5,34%;;;0
231;TRXF11;Outros;R$ 104,81;22971.0;R$ 0,85;0,78%;2,33%;5,08%;9,98%;0,78%;0,85%;0,83%;8,27%;0,00%;0,78%;17,10%;R$ 895.339.591,18;R$ 100,81;104.0;0,84%;-2,12%;-1,30%;8,77%;0,00%;;44
232;HPDP11;Shoppings;R$ 78,20;127.0;R$ 0,55;0,69%;1,84%;3,47%;6,79%;0,61%;0,58%;0,57%;5,65%;0,00%;0,69%;0,50%;R$ 275.950.685,39;R$ 94,87;82.0;0,58%;-0,12%;0,46%;5,11%;2,00%;;1
233;HFOF11;Títulos e Val. Mob.;R$ 74,00;22811.0;R$ 0,62;0,78%;2,37%;4,94%;9,56%;0,79%;0,82%;0,80%;8,07%;0,00%;0,78%;8,90%;R$ 1.977.685.141,08;R$ 85,99;86.0;0,72%;-1,48%;-0,77%;9,06%;;;0
234;HOSI11;Híbrido;R$ 62,61;3.0;R$ 0,44;0,68%;2,01%;3,69%;7,19%;0,67%;0,62%;0,60%;5,69%;0,00%;0,68%;-7,18%;R$ 53.303.825,45;R$ 92,95;67.0;0,47%;0,20%;0,67%;4,60%;;;2
235;JSRE11;Híbrido;R$ 76,64;37732.0;R$ 0,49;0,57%;1,70%;3,62%;7,68%;0,57%;0,60%;0,64%;6,28%;0,00%;0,57%;15,09%;R$ 2.355.350.509,30;R$ 113,42;68.0;0,43%;-0,11%;0,32%;3,89%;14,80%;13,40%;5
236;VSHO11;Shoppings;R$ 73,99;125.0;R$ 0,53;0,71%;2,14%;4,56%;8,97%;0,71%;0,76%;0,75%;7,52%;0,00%;0,71%;2,98%;R$ 207.312.946,11;R$ 98,78;75.0;0,54%;0,67%;1,21%;2,73%;12,96%;;3
237;VISC11;Shoppings;R$ 105,01;22574.0;R$ 0,75;0,67%;1,96%;4,05%;8,20%;0,65%;0,67%;0,68%;6,78%;0,00%;0,67%;20,05%;R$ 2.034.614.659,41;R$ 114,97;91.0;0,65%;0,21%;0,86%;5,26%;8,30%;;15
238;RFOF11;Títulos e Val. Mob.;R$ 71,71;1081.0;R$ 0,73;0,95%;2,81%;5,69%;11,13%;0,94%;0,95%;0,93%;9,36%;0,00%;0,95%;14,40%;R$ 92.461.368,65;R$ 85,76;84.0;0,85%;-1,09%;-0,25%;6,65%;;;0
239;KCRE11;Renda;R$ 90,90;4008.0;R$ 0,35;0,37%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,73%;0,00%;0,37%;6,03%;R$ 363.384.085,47;R$ 100,94;90.0;0,35%;0,22%;0,57%;3,06%;;;0
240;ERCR11;Híbrido;R$ 89,10;177.0;R$ 139,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 164.681.982,75;R$ 69.310,60;0.0;;;;;;;0
241;ERCR11;Híbrido;R$ 89,20;4779.0;R$ 139,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 164.681.982,75;R$ 69.310,60;0.0;;;;;;;0
242;ERCR11;Híbrido;R$ 88,55;2738.0;R$ 139,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 164.681.982,75;R$ 69.310,60;0.0;;;;;;;0
243;ERCR11;Híbrido;R$ 89,31;2315.0;R$ 139,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 164.681.982,75;R$ 69.310,60;0.0;;;;;;;0
244;ERCR11;Híbrido;R$ 88,83;6123.0;R$ 139,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 164.681.982,75;R$ 69.310,60;0.0;;;;;;;0
245;ERCR11;Híbrido;R$ 88,66;2350.0;R$ 139,45;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 164.681.982,75;R$ 69.310,60;0.0;;;;;;;0
