;codigo_fundo;setor;preco_atual;liquidez_diaria;dividendo;dy;dy_3_acumulado;dy_6_acumulado;dy_12_acumulado;dy_3_media;dy_6_media;dy_12_media;dy_ano;variacao_preco;rentabilidade_periodo;rentabilidade_acumulada;patrimonio_liquido;vpa;p_vpa;dy_patrimonial;variacao_patrimonial;rentabilidade_patrimonial_periodo;rentabilidade_patrimonial_acumulada;vacancia_fisica;vacancia_financeira;quantidade_ativos
99;ITIP11;Títulos e Val. Mob.;R$ 80,65;368.0;R$ 0,76;0,94%;3,17%;6,90%;14,01%;1,06%;1,15%;1,17%;11,65%;0,00%;0,94%;11,15%;R$ 62.346.732,01;R$ 83,33;97.0;0,91%;-0,16%;0,75%;4,68%;;;0
100;RBHY11;Títulos e Val. Mob.;R$ 94,40;1797.0;R$ 1,26;1,30%;4,06%;8,54%;17,01%;1,35%;1,42%;1,42%;13,48%;0,00%;1,30%;8,09%;R$ 180.393.192,28;R$ 95,27;99.0;1,32%;-1,08%;0,23%;12,06%;;;0
101;PATL11;Híbrido;R$ 75,74;9037.0;R$ 0,58;0,73%;2,19%;4,49%;9,18%;0,73%;0,75%;0,77%;7,52%;0,00%;0,73%;13,73%;R$ 489.688.100,82;R$ 98,10;77.0;0,59%;0,01%;0,60%;6,22%;0,00%;0,00%;4
102;CXCE11B;Outros;R$ 40,63;669.0;R$ 0,46;1,08%;2,91%;5,65%;10,84%;0,97%;0,94%;0,90%;9,11%;0,00%;1,08%;2,36%;R$ 111.030.391,29;R$ 64,82;63.0;0,71%;-0,59%;0,11%;-1,34%;0,00%;;1
103;HGBS11;Shoppings;R$ 189,92;8225.0;R$ 1,35;0,65%;1,90%;4,12%;8,05%;0,63%;0,69%;0,67%;6,81%;0,00%;0,65%;33,30%;R$ 2.183.462.086,61;R$ 218,35;87.0;0,62%;-0,01%;0,61%;7,55%;6,50%;;17
104;BBGO11;Títulos e Val. Mob.;R$ 84,46;3609.0;R$ 1,00;1,18%;2,98%;5,57%;0,00%;0,99%;0,93%;0,00%;7,22%;0,00%;1,18%;4,16%;R$ 392.249.829,74;R$ 97,94;86.0;1,02%;-0,09%;0,93%;8,10%;;;0
105;FIIB11;Híbrido;R$ 460,02;709.0;R$ 3,70;0,76%;2,28%;4,57%;8,97%;0,76%;0,76%;0,75%;5,99%;0,00%;0,76%;10,77%;R$ 312.437.587,98;R$ 456,11;101.0;0,81%;-0,06%;0,75%;6,83%;6,28%;;1
106;GALG11;Híbrido;R$ 9,31;522864.0;R$ 0,08;0,86%;2,55%;5,13%;10,20%;0,85%;0,86%;0,85%;9,39%;0,00%;0,86%;-98,91%;R$ 584.291.907,19;R$ 10,16;92.0;0,81%;0,19%;1,00%;-89,34%;0,00%;0,00%;6
107;VJFD11;Híbrido;R$ 96,00;1745.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;72.0;0,76%;0,04%;0,80%;1,61%;;;0
108;VJFD11;Híbrido;R$ 96,26;5104.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;72.0;0,76%;0,04%;0,80%;1,61%;;;0
109;VJFD11;Híbrido;R$ 96,30;7905.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;73.0;0,76%;0,04%;0,80%;1,61%;;;0
110;VJFD11;Híbrido;R$ 96,35;6155.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;73.0;0,76%;0,04%;0,80%;1,61%;;;0
111;VJFD11;Híbrido;R$ 96,25;4742.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;72.0;0,76%;0,04%;0,80%;1,61%;;;0
112;VJFD11;Híbrido;R$ 96,25;3924.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;72.0;0,76%;0,04%;0,80%;1,61%;;;0
113;VJFD11;Híbrido;R$ 96,33;2746.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;73.0;0,76%;0,04%;0,80%;1,61%;;;0
114;VJFD11;Híbrido;R$ 96,32;5410.0;R$ 1,01;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;0,00%;0,00%;0,00%;R$ 647.504.605,91;R$ 132,79;73.0;0,76%;0,04%;0,80%;1,61%;;;0
115;FVPQ11;Shoppings;R$ 108,51;292.0;R$ 0,57;0,49%;1,75%;3,67%;7,82%;0,58%;0,61%;0,65%;6,57%;0,00%;0,49%;21,97%;R$ 556.259.429,91;R$ 198,65;55.0;0,29%;0,18%;0,47%;4,12%;5,50%;;1
116;NVHO11;Hospital;R$ 10,10;75.0;R$ 0,08;0,80%;2,31%;4,34%;7,75%;0,77%;0,72%;0,65%;5,21%;5,32%;6,16%;6,53%;R$ 529.013.250,25;R$ 12,75;79.0;0,66%;0,10%;0,76%;5,61%;;;1
117;RNDP11;Títulos e Val. Mob.;R$ 159,99;71.0;R$ 2,14;0,84%;2,51%;5,63%;10,46%;0,84%;0,94%;0,87%;9,13%;-2,21%;-1,39%;-53,22%;R$ 34.519.994,07;R$ 321,17;50.0;0,67%;-0,57%;0,09%;-48,64%;;;0
118;HCHG11;Outros;R$ 86,00;9.0;R$ 1,00;1,13%;3,48%;6,68%;12,25%;1,16%;1,11%;1,02%;10,51%;3,47%;4,63%;11,52%;R$ 120.541.835,89;R$ 100,45;86.0;1,00%;-1,93%;-0,96%;12,47%;;;0
119;KNRI11;Híbrido;R$ 140,34;21516.0;R$ 0,91;0,63%;1,82%;3,76%;7,41%;0,61%;0,63%;0,62%;6,19%;-3,74%;-3,14%;16,78%;R$ 3.871.638.686,32;R$ 160,27;88.0;0,57%;0,11%;0,68%;7,35%;2,00%;6,72%;20
120;SPTW11;Lajes Corporativas;R$ 40,91;2173.0;R$ 0,40;0,92%;2,77%;5,58%;10,88%;0,92%;0,93%;0,91%;9,17%;1,07%;2,00%;5,09%;R$ 95.530.136,48;R$ 53,13;77.0;0,75%;0,13%;0,89%;7,78%;0,00%;;1
121;PLOG11;Logística;R$ 76,00;642.0;R$ 0,75;0,94%;2,84%;6,06%;12,27%;0,95%;1,01%;1,02%;10,30%;1,00%;1,96%;17,51%;R$ 75.314.540,46;R$ 100,42;76.0;0,75%;0,04%;0,79%;7,99%;20,40%;;1
122;VIUR11;Títulos e Val. Mob.;R$ 7,84;48400.0;R$ 0,07;0,91%;2,65%;5,63%;11,34%;0,88%;0,94%;0,94%;9,49%;-2,34%;-1,45%;-88,52%;R$ 256.568.105,47;R$ 9,52;82.0;0,76%;0,27%;1,03%;-89,38%;0,00%;;6
123;RBRD11;Híbrido;R$ 36,98;803.0;R$ 0,30;0,76%;2,22%;4,85%;10,05%;0,74%;0,81%;0,84%;9,22%;-3,30%;-2,56%;0,06%;R$ 126.635.437,89;R$ 68,39;54.0;0,44%;-0,53%;-0,10%;0,34%;15,52%;;4
124;LUGG11;Residencial;R$ 75,02;662.0;R$ 0,52;0,67%;2,03%;4,10%;8,10%;0,68%;0,68%;0,67%;6,84%;-1,89%;-1,23%;-4,74%;R$ 115.000.530,01;R$ 127,78;59.0;0,41%;-0,10%;0,31%;6,87%;2,40%;;4
